Algo 1,   Algo 2, Algo 3, Algo 4, T1(n), T2(n), T3(n), T4(n)
31119ns, 26411ns, 10645ns, 10253ns,  1766, 675, 166, 145
82137ns, 23879ns, 11716ns, 2658ns,  5046, 1460, 236, 215
266215ns, 18075ns, 11975ns, 3004ns,  10926, 2545, 307, 285
24801ns, 23985ns, 6357ns, 1248ns,  20156, 3930, 377, 355
22120ns, 3076ns, 4465ns, 814ns,  33486, 5615, 447, 425
35243ns, 4261ns, 6248ns, 886ns,  51666, 7600, 518, 495
44710ns, 5035ns, 6203ns, 878ns,  75446, 9885, 588, 565
59035ns, 6074ns, 7827ns, 968ns,  105576, 12470, 658, 635
72477ns, 7060ns, 7781ns, 942ns,  142806, 15355, 728, 705
99209ns, 9444ns, 10279ns, 1221ns,  187886, 18540, 798, 775
115131ns, 10789ns, 9622ns, 1076ns,  241566, 22025, 868, 845
136924ns, 11550ns, 10526ns, 1122ns,  304596, 25810, 939, 915
165116ns, 13279ns, 11363ns, 1177ns,  377726, 29895, 1009, 985
202399ns, 15235ns, 12086ns, 1185ns,  461706, 34280, 1079, 1055
240970ns, 17434ns, 13038ns, 1169ns,  557286, 38965, 1149, 1125
274890ns, 18877ns, 13137ns, 1226ns,  665216, 43950, 1219, 1195
305660ns, 20612ns, 12807ns, 1206ns,  786246, 49235, 1289, 1265
392197ns, 25067ns, 15463ns, 1336ns,  921126, 54820, 1359, 1335
433034ns, 26605ns, 16301ns, 1429ns,  1070606, 60705, 1429, 1405
