Algo 1,   Algo 2, Algo 3, Algo 4, T1(n), T2(n), T3(n), T4(n)
16411ns, 7170ns, 5769ns, 3046ns,  1766, 675, 166, 145
20783ns, 3955ns, 2193ns, 1562ns,  5046, 1460, 236, 215
9689ns, 1858ns, 3021ns, 1381ns,  10926, 2545, 307, 285
14597ns, 2326ns, 3086ns, 703ns,  20156, 3930, 377, 355
23096ns, 2977ns, 4029ns, 745ns,  33486, 5615, 447, 425
32314ns, 3754ns, 4255ns, 782ns,  51666, 7600, 518, 495
46113ns, 4760ns, 6345ns, 893ns,  75446, 9885, 588, 565
64516ns, 6464ns, 5880ns, 877ns,  105576, 12470, 658, 635
87275ns, 8704ns, 6984ns, 1012ns,  142806, 15355, 728, 705
96524ns, 8938ns, 7310ns, 1029ns,  187886, 18540, 798, 775
118684ns, 10253ns, 7686ns, 1034ns,  241566, 22025, 868, 845
139772ns, 11070ns, 7908ns, 1173ns,  304596, 25810, 939, 915
171804ns, 13089ns, 8762ns, 1033ns,  377726, 29895, 1009, 985
210039ns, 15425ns, 10380ns, 1098ns,  461706, 34280, 1079, 1055
243129ns, 17424ns, 9932ns, 1184ns,  557286, 38965, 1149, 1125
292845ns, 92645ns, 11673ns, 1283ns,  665216, 43950, 1219, 1195
359492ns, 23320ns, 12270ns, 1388ns,  786246, 49235, 1289, 1265
386125ns, 24760ns, 12503ns, 1336ns,  921126, 54820, 1359, 1335
430690ns, 26727ns, 12494ns, 1282ns,  1070606, 60705, 1429, 1405
